-20,75	55,14	9999
-20,75	55,15	9999
-20,75	55,16	9999
-20,75	55,17	9999
-20,75	55,18	9999
-20,75	55,19	9999
-20,75	55,2	9999
-20,75	55,21	9999
-20,75	55,22	9999
-20,75	55,23	9999
-20,75	55,24	9999
-20,75	55,25	9999
-20,75	55,26	9999
-20,75	55,27	9999
-20,75	55,28	9999
-20,75	55,29	9999
-20,75	55,3	9999
-20,75	55,31	9999
-20,75	55,32	9999
-20,75	55,33	9999
-20,75	55,34	9999
-20,75	55,35	9999
-20,75	55,36	9999
-20,75	55,37	9999
-20,75	55,38	9999
-20,75	55,39	9999
-20,75	55,4	9999
-20,75	55,41	9999
-20,75	55,42	9999
-20,75	55,43	9999
-20,75	55,44	9999
-20,75	55,45	9999
-20,75	55,46	9999
-20,75	55,47	9999
-20,75	55,48	9999
-20,75	55,49	9999
-20,75	55,5	9999
-20,75	55,51	9999
-20,75	55,52	9999
-20,75	55,53	9999
-20,75	55,54	9999
-20,75	55,55	9999
-20,75	55,56	9999
-20,75	55,57	9999
-20,75	55,58	9999
-20,75	55,59	9999
-20,75	55,6	9999
-20,75	55,61	9999
-20,75	55,62	9999
-20,75	55,63	9999
-20,75	55,64	9999
-20,75	55,65	9999
-20,75	55,66	9999
-20,75	55,67	9999
-20,75	55,68	9999
-20,75	55,69	9999
-20,75	55,7	9999
-20,75	55,71	9999
-20,75	55,72	9999
-20,75	55,73	9999
-20,75	55,74	9999
-20,75	55,75	9999
-20,75	55,76	9999
-20,75	55,77	9999
-20,75	55,78	9999
-20,75	55,79	9999
-20,75	55,8	9999
-20,75	55,81	9999
-20,75	55,82	9999
-20,75	55,83	9999
-20,75	55,84	9999
-20,75	55,85	9999
-20,75	55,86	9999
-20,75	55,87	9999
-20,75	55,88	9999
-20,75	55,89	9999
-20,75	55,9	9999
-20,75	55,91	9999
-20,75	55,92	9999
-20,75	55,93	9999
-20,75	55,94	9999
-20,76	55,14	9999
-20,76	55,15	9999
-20,76	55,16	9999
-20,76	55,17	9999
-20,76	55,18	9999
-20,76	55,19	9999
-20,76	55,2	9999
-20,76	55,21	9999
-20,76	55,22	9999
-20,76	55,23	9999
-20,76	55,24	9999
-20,76	55,25	9999
-20,76	55,26	9999
-20,76	55,27	9999
-20,76	55,28	9999
-20,76	55,29	9999
-20,76	55,3	9999
-20,76	55,31	9999
-20,76	55,32	9999
-20,76	55,33	9999
-20,76	55,34	9999
